id,name,filename,prompt
"box-bathroom","Badrumskartong","box-bathroom.png","Fotorealistisk produktbild av en Badrumskartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"desk","Skrivbord","desk.png","Fotorealistisk produktbild av en Skrivbord på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"office-chair","Kontorsstol","office-chair.png","Fotorealistisk produktbild av en Kontorsstol på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-books","Bokkartong","box-books.png","Fotorealistisk produktbild av en Bokkartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-office","Kontorskartong","box-office.png","Fotorealistisk produktbild av en Kontorskartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-large","Stor kartong","box-large.png","Fotorealistisk produktbild av en Stor kartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-medium","Mellan kartong","box-medium.png","Fotorealistisk produktbild av en Mellan kartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"box-small","Liten kartong","box-small.png","Fotorealistisk produktbild av en Liten kartong på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"suitcase","Resväska","suitcase.png","Fotorealistisk produktbild av en Resväska på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"vacuum","Dammsugare","vacuum.png","Fotorealistisk produktbild av en Dammsugare på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"storage-shelf","Förvaringshylla","storage-shelf.png","Fotorealistisk produktbild av en Förvaringshylla på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bicycle","Cykel","bicycle.png","Fotorealistisk produktbild av en Cykel på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"plants-large","Stor krukväxt","plants-large.png","Fotorealistisk produktbild av en Stor krukväxt på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"plants-small","Liten krukväxt","plants-small.png","Fotorealistisk produktbild av en Liten krukväxt på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bbq","Grill","bbq.png","Fotorealistisk produktbild av en Grill på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"garden-furniture","Utemöbler (set)","garden-furniture.png","Fotorealistisk produktbild av en Utemöbler (set) på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"garden-tools","Trädgårdsredskap","garden-tools.png","Fotorealistisk produktbild av en Trädgårdsredskap på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"all","Alla","all.png","Fotorealistisk produktbild av en Alla på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"living-room","Vardagsrum","living-room.png","Fotorealistisk produktbild av en Vardagsrum på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bedroom","Sovrum","bedroom.png","Fotorealistisk produktbild av en Sovrum på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"kitchen","Kök","kitchen.png","Fotorealistisk produktbild av en Kök på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"bathroom","Badrum","bathroom.png","Fotorealistisk produktbild av en Badrum på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"office","Kontor","office.png","Fotorealistisk produktbild av en Kontor på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"storage","Förråd","storage.png","Fotorealistisk produktbild av en Förråd på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
"outdoor","Utomhus","outdoor.png","Fotorealistisk produktbild av en Utomhus på ren vit bakgrund. Centrerad, mjuk skugga, hög detalj. Inga människor, inga logotyper, inga varumärken, ingen text. Format: kvadratisk bild."
